Title;Year;Decade;Country;Genre;IMDB;averageRating;numVotes;start;end
Servant;;;;Thriller;;;;8.25;
Sherlock (2010);;;;Crime;;;;7;
Sherlock Holmes (1984-1994);;;;Crime;;;;9.5;8
Shield, The;;;;Crime;;;;9.5;
Show Me a Hero;;;;Politics;;;;8.75;
Simpsons s1-s20, The;;;;Comedy;;;;9;7
Six Feet Under;;;;Drama;;;;9.5;
Sleeper Cell;;;;Thriller;;;;9;
Sons of Anarchy;;;;Thriller;;;;9;8
Sopranos, The;;;;Drama;;;;9.25;
South Park s1-s23;;;;Comedy;;;;9;8
Southland;;;;Crime;;;;8.75;
Space 1999;;;;Sci-Fi;;;;8;
Spiral;;;;Politics;;;;9;
Star Trek Discovery;;;;Sci-Fi;;;;6;
Star Trek s1-s3;;;;Sci-Fi;;;;8.5;
Star Wars, Clone Wars;;;;Fantasy;;;;8.5;
Star Wars, Mandalorian;;;;Fantasy;;;;9;
Star Wars, Rebels;;;;Fantasy;;;;8.5;
Stargate Universe;;;;Sci-Fi;;;;8.75;
State of Play;;;;Crime;;;;8.25;
Stranger Things;;;;Mystery;;;;8.75;8
Taboo;;;;Thriller;;;;9;
Take, The;;;;Crime;;;;8.5;
Terror, The;;;;Horror;;;;9;7
Thick of it, The;;;;Politics;;;;9.25;
Total Recall 2070;;;;Sci-Fi;;;;7.75;
Tron Uprising;;;;Fantasy;;;;7;
True Detective;;;;Crime;;;;9.25;
Twilight Zone, The;;;;Mystery;;;;9.25;
Unbelievable;;;;Thriller;;;;8.75;
Unit, The;;;;Thriller;;;;8.25;
Utopia;;;;Sci-Fi;;;;9;
V (1980s);;;;Sci-Fi;;;;8.25;
V (2009);;;;Sci-Fi;;;;7;
Versailles;;;;Historical;;;;8.75;
Vicar of Dibley, The;;;;Comedy;;;;8.25;
Vikings;;;;Fantasy;;;;9;8
Village, The;;;;Drama;;;;8.25;
Walking Dead, The;;;;Horror;;;;9;6
Wallender;;;;Crime;;;;8.5;
War and Peace;;;;Historical;;;;9;
Watchmen;;;;Drama;;;;8;
West Wing, The;;;;Politics;;;;9;8
Westworld;;;;Sci-Fi;;;;9.5;6
Wire, The;;;;Politics;;;;9.75;
Witcher, The;;;;Fantasy;;;;8.5;
Wolf Hall;;;;Historical;;;;9.5;
X-files s1-s5;;;;Mystery;;;;9;7
Years and Years;;;;Dystopia;;;;8.75;
Yes Minister;;;;Politics;;;;9.5;
Yes Prime Minister;;;;Politics;;;;9.5;
Z‚ Gato;;;;Crime;;;;7;
