Title;Year;Decade;Country;Genre;runtimeMinutes;IMDB;Score;averageRating;numVotes;directors;primaryName
Hunger;2008;2000s;Ireland;Politics;96;tt0986233;8.5;7.6;64290;nm2588606;Steve McQueen
The Wrestler;2008;2000s;USA;Drama;109;tt1125849;8.75;7.9;285901;nm0004716;Darren Aronofsky
The Diving Bell and the Butterfly;2007;2000s;France;Drama;112;tt0401383;7;8;101890;nm0773603;Julian Schnabel
Persepolis;2007;2000s;France;Drama;96;tt0808417;8;8;87118;nm1749112;Vincent Paronnaud
The Kite Runner;2007;2000s;USA;Drama;128;tt0419887;7;7.6;76538;nm0286975;Marc Forster
Rescue Dawn;2007;2000s;USA;Drama;120;tt0462504;7;7.3;99372;nm0001348;Werner Herzog
28 Weeks Later;2007;2000s;USA;Horror;100;tt0463854;7;7;254347;nm0294379;Juan Carlos Fresnadillo
À l'intérieur;2007;2000s;France;Horror;82;tt0856288;7.5;6.8;36726;nm2376614;Alexandre Bustillo
Eastern Promises;2007;2000s;UK;Crime;100;tt0765443;7.75;7.6;228877;nm0000343;David Cronenberg
[Rec];2007;2000s;Spain;Horror;78;tt1038988;8;7.4;161912;nm0687042.nm0049371;Jaume Balagueró
Tropa de Elite;2007;2000s;Brazil;Thriller;115;tt0861739;7.75;8.1;96672;nm0655683;José Padilha
Shoot 'Em Up;2007;2000s;USA;Action;86;tt0465602;7.5;6.7;143207;nm0205157;Michael Davis
Los cronocrímenes (Timecrimes);2007;2000s;Spain;SciFi;92;tt0480669;8;7.2;56457;nm1443023;Nacho Vigalondo
Secret Sunshine;2007;2000s;South Korea;Drama;142;tt0817225;8;7.5;6694;nm0496969;Chang-dong Lee
The Assassination of Jesse James;2007;2000s;USA;Western;160;tt0443680;10;7.5;165496;nm0231596;Andrew Dominik
Sunshine;2007;2000s;UK;SciFi;107;tt0448134;7.5;7.2;229404;nm0000965;Danny Boyle
The Darjeeling Limited;2007;2000s;USA;Comedy;91;tt0838221;7.75;7.2;176332;nm0027572;Wes Anderson
Once;2007;2000s;Ireland;Drama;86;tt0907657;8.25;7.8;108950;nm0138809;John Carney
Zodiac;2007;2000s;USA;Thriller;157;tt0443706;8.25;7.7;441254;nm0000399;David Fincher
The Mist;2007;2000s;USA;Horror;126;tt0884328;8.5;7.1;275327;nm0001104;Frank Darabont
No Country for Old Men;2007;2000s;USA;Drama;122;tt0477348;8.75;8.1;828492;nm0001054.nm0001053;Cohen Brothers
There Will Be Blood;2007;2000s;USA;Drama;158;tt0469494;8.75;8.2;501197;nm0000759;Paul Thomas Anderson
Little Miss Sunshine;2006;2000s;USA;Comedy;101;tt0449059;7.25;7.8;430977;nm0206760;Jonathan Dayton
Blood Diamond;2006;2000s;USA;Thriller;143;tt0450259;7.5;8;508392;nm0001880;Edward Zwick
Zwartboek, Black Book;2006;2000s;Netherlands;War;145;tt0389557;7.5;7.7;73466;nm0000682;Paul Verhoeven
Babel;2006;2000s;USA;Drama;143;tt0449467;7.25;7.4;289982;nm0327944;Alejandro G. Iñárritu
This is England;2006;2000s;UK;Drama;101;tt0480025;8;7.7;114593;nm0276349;Shane Meadows
The Fall;2006;2000s;USA;Fantasy;117;tt0460791;7;7.9;105658;nm0802248;Tarsem Singh
The Host;2006;2000s;USA;Horror;120;tt0468492;7;7.1;102196;nm0094435;Bong Joon Ho
Inside Man;2006;2000s;USA;Thriller;129;tt0454848;7.25;7.6;332268;nm0000490;Spike Lee
Shi Gan (Time);2006;2000s;South Korea;Drama;97;tt0497986;8;7.2;11597;nm1104118;Ki-duk Kim
Volver;2006;2000s;Spain;Drama;121;tt0441909;8;7.6;92918;nm0000264;Pedro Almodóvar
Apocalypto;2006;2000s;USA;Historical;139;tt0472043;9;7.8;285521;nm0000154;Mel Gibson
Miami Vice;2006;2000s;USA;Action;132;tt0430357;7.75;6;108232;nm0000520;Michael Mann
El laberinto del fauno;2006;2000s;Spain;Fantasy;118;tt0457430;7.75;8.2;605587;nm0868219;Guillermo del Toro
The Departed;2006;2000s;USA;Thriller;151;tt0407887;8;8.5;1162745;nm0000217;Martin Scorsese
Letters from Iwo Jima;2006;2000s;USA;War;141;tt0498380;8;7.9;152328;nm0000142;Clint Eastwood
The Lives of Others;2006;2000s;Germany;Politics;137;tt0405094;8.5;8.4;348508;nm0003697;Florian Donnersmarck
The Fountain;2006;2000s;USA;SciFi;97;tt0414993;8.5;7.2;224805;nm0004716;Darren Aronofsky
The Last King of Scotland;2006;2000s;UK;Historical;123;tt0455590;7.5;7.7;175744;nm0531817;Kevin Macdonald
Children of Men;2006;2000s;USA;Dystopia;109;tt0206634;9.5;7.9;455067;nm0190859;Alfonso Cuarón
Un Long Dimanche;2004;2000s;France;Drama;133;tt0344510;7.5;7.6;71251;nm0000466;Jean-Pierre Jeunet
Kung Fu Hustle;2004;2000s;Hong Kong;Comedy;99;tt0373074;7.5;7.7;132527;nm0159507;Stephen Chow
Primer;2004;2000s;USA;SciFi;77;tt0390384;7.25;6.9;100775;nm1503403;Shane Carruth
Love and Honor;2006;2000s;Japan;Samurai;122;tt0483578;8;7.7;3517;nm0945282;Yôji Yamada
The Exorcism of Emily Rose;2005;2000s;USA;Horror;119;tt0404032;7;6.7;116897;nm0220600;Scott Derrickson
Jarhead;2005;2000s;USA;War;125;tt0418763;7;7;179226;nm0005222;Sam Mendes
A History of Violence;2005;2000s;Canada;Thriller;96;tt0399146;7.5;7.4;224730;nm0000343;David Cronenberg
The Proposition;2005;2000s;Australia;Western;104;tt0421238;7;7.3;49457;nm0384825;John Hillcoat
Match Point;2005;2000s;UK;Thriller;124;tt0416320;7.5;7.6;207150;nm0000095;Woody Allen
A Bittersweet Life;2005;2000s;South Korea;Thriller;119;tt0456912;7;7.6;35079;nm0453518;Jee-woon Kim
Sin City;2005;2000s;USA;Action;124;tt0401792;7;8;732540;nm0001675;Robert Rodriguez
Syriana;2005;2000s;USA;Thriller;128;tt0365737;7;6.9;124585;nm0300866;Stephen Gaghan
Munich;2005;2000s;USA;Thriller;164;tt0408306;8;7.5;208003;nm0000229;Steven Spielberg
13 Tzameti;2005;2000s;France;Horror;93;tt0475169;8;7.4;16585;nm1201875;Géla Babluani
The New World;2005;2000s;USA;Historical;135;tt0402399;9;6.7;81673;nm0000517;Terrence Malick
King Kong;2005;2000s;USA;Action;187;tt0360717;7.5;7.2;383729;nm0001392;Peter Jackson
Alice;2005;2000s;Portugal;Drama;102;tt0459072;7.5;7.4;2154;nm0554076;Marco Martins
Caché;2005;2000s;Germany;Thriller;117;tt0387898;7.5;7.3;71552;nm0359734;Michael Haneke
Wolf Creek;2005;2000s;Australia;Horror;99;tt0416315;7.5;6.2;66478;nm0572562;Greg McLean
Gang Street Hooligans;2005;2000s;USA;Thriller;109;tt0385002;7.75;7.5;139685;nm0591994;Lexi Alexander
Kingdom of Heaven;2005;2000s;USA;Historical;144;tt0320661;8.25;7.2;262145;nm0000631;Ridley Scott
The Descent;2005;2000s;USA;Horror;99;tt0435625;8.5;7.2;196448;nm0551076;Neil Marshall
V for Vendetta;2005;2000s;USA;Dystopia;132;tt0434409;8.75;8.2;1007026;nm0574625;James McTeigue
Good Night, and Good Luck;2005;2000s;USA;Politics;93;tt0433383;9.25;7.4;92994;nm0000123;George Clooney
Lady Vengeance;2005;2000s;South Korea;Thriller;115;tt0451094;9.5;7.6;69997;nm0661791;Chan-wook Park
Taking Lives;2004;2000s;USA;Thriller;103;tt0364045;7;6.3;78804;nm0142286;D.J. Caruso
Suspect Zero;2004;2000s;USA;Thriller;99;tt0324127;7;5.8;18727;nm0580729;E. Elias Merhige
The Libertine;2004;2000s;USA;Historical;114;tt0375920;8;6.3;34344;nm1461380;Laurence Dunmore
Before Sunset;2004;2000s;USA;Drama;80;tt0381681;7.75;8;241540;nm0000500;Richard Linklater
The Life Aquatic with Steve Zissou;2004;2000s;USA;Comedy;119;tt0362270;8;7.3;175298;nm0027572;Wes Anderson
Saw;2004;2000s;USA;Horror;103;tt0387564;8;7.6;371168;nm1490123;James Wan
The Village;2004;2000s;USA;Horror;108;tt0368447;8;6.5;238160;nm0796117;M. Night Shyamalan
The Passion of the Christ;2004;2000s;USA;Historical;127;tt0335345;9;7.2;212068;nm0000154;Mel Gibson
Troy;2004;2000s;USA;Historical;163;tt0332452;7.75;7.2;478589;nm0000583;Wolfgang Petersen
Collateral;2004;2000s;USA;Action;120;tt0369339;7.5;7.5;351625;nm0000520;Michael Mann
Shaun of the Dead;2004;2000s;UK;Comedy;99;tt0365748;7.5;7.9;501173;nm0942367;Edgar Wright
The Machinist;2004;2000s;Spain;Thriller;101;tt0361862;7.5;7.7;351890;nm0026442;Brad Anderson
La Mala Educación;2004;2000s;Spain;Drama;106;tt0275491;7.5;7.4;54797;nm0000264;Pedro Almodóvar
Million Dollar Baby;2004;2000s;USA;Drama;132;tt0405159;7.75;8.1;621702;nm0000142;Clint Eastwood
Mar Adentro;2004;2000s;Spain;Drama;126;tt0369702;8;8;78018;nm0024622;Alejandro Amenábar
Eternal Sunshine of the Spotless Mind;2004;2000s;USA;SciFi;108;tt0338013;8.5;8.3;887068;nm0327273;Michel Gondry
Vera Drake;2004;2000s;UK;Drama;125;tt0383694;8.75;7.6;23491;nm0005139;Mike Leigh
Kill Bill vol.2;2004;2000s;USA;Action;137;tt0378194;8.75;8;666464;nm0000233;Quentin Tarantino
Der Untergang;2004;2000s;Germany;War;156;tt0363163;9.25;8.2;323849;nm0386570;Oliver Hirschbiegel
Haute tension;2003;2000s;France;Horror;91;tt0338095;7;6.8;66244;nm0014960;Alexandre Aja
A Tale of Two Sisters;2003;2000s;USA;Horror;114;tt0365376;7;7.2;54679;nm0453518;Jee-woon Kim
21 Grams;2003;2000s;USA;Drama;124;tt0315733;8;7.7;220980;nm0327944;Alejandro G. Iñárritu
Master and Commander;2003;2000s;USA;Historical;138;tt0311113;9;7.4;197985;nm0001837;Peter Weir
Ong-Bak;2003;2000s;Thailand;Action;108;tt0368909;8;7.2;70120;nm1272773;Prachya Pinkaew
Matrix Revolutions;2003;2000s;USA;SciFi;129;tt0242653;7.25;6.8;438616;nm0905152.nm0905154;Wachowski Brothers
Matrix Reloaded;2003;2000s;USA;SciFi;138;tt0234215;7.5;7.2;504957;nm0905152.nm0905154;Wachowski Brothers
Os Imortais;2003;2000s;Portugal;Crime;130;tt0367878;7.5;7.3;1282;nm0890367;António-Pedro Vasconcelos
Zatôichi;2003;2000s;Japan;Samurai;116;tt0363226;8.25;7.5;46519;nm0001429;Takeshi Kitano
Pirates of the Caribbean;2003;2000s;USA;Fantasy;143;tt0325980;8;8;1002653;nm0893659;Gore Verbinski
Mystic River;2003;2000s;USA;Thriller;138;tt0327056;7.5;7.9;412226;nm0000142;Clint Eastwood
Good Bye Lenin!;2003;2000s;Germany;Comedy;121;tt0301357;7.75;7.7;135933;nm0065615;Wolfgang Becker
Les Triplettes de Belleville;2003;2000s;France;Comedy;80;tt0286244;7.25;7.8;49999;nm0158984;Sylvain Chomet
The Return;2003;2000s;Russia;Drama;110;tt0376968;7.5;8;41436;nm1168657;Andrey Zvyagintsev
Spring Summer Fall Winter... and Spring;2003;2000s;South Korea;Drama;103;tt0374546;8.25;8;77640;nm1104118;Ki-duk Kim
The Return of the King;2003;2000s;USA;Fantasy;201;tt0167260;8.75;8.9;1600197;nm0001392;Peter Jackson
Old Boy;2003;2000s;South Korea;Thriller;120;tt0364569;8.5;8.4;499398;nm0661791;Chan-wook Park
Kill Bill vol.1;2003;2000s;USA;Action;111;tt0266697;8.75;8.1;974721;nm0000233;Quentin Tarantino
Punch-Drunk Love;2002;2000s;USA;Drama;95;tt0272338;7;7.3;143811;nm0000759;Paul Thomas Anderson
Spider;2002;2000s;Canada;Drama;98;tt0278731;7;6.8;35779;nm0000343;David Cronenberg
Insomnia;2002;2000s;USA;Thriller;118;tt0278504;7;7.2;267831;nm0634240;Christopher Nolan
28 Days Later;2002;2000s;USA;Horror;113;tt0289043;7;7.6;368686;nm0000965;Danny Boyle
Hero;2002;2000s;China;Action;120;tt0299977;8;7.9;171769;nm0955443;Yimou Zhang
The Twilight Samurai;2002;2000s;Japan;Samurai;129;tt0351817;8;8.1;22262;nm0945282;Yôji Yamada
Infernal Affairs;2002;2000s;Hong Kong;Crime;101;tt0338564;8;8;116194;nm0538320;Alan Mak
Hable con ella;2002;2000s;Spain;Drama;112;tt0287467;9;7.9;102544;nm0000264;Pedro Almodóvar
Equilibrium;2002;2000s;USA;Dystopia;107;tt0238380;7;7.4;312031;nm0934483;Kurt Wimmer
Minority Report;2002;2000s;USA;SciFi;145;tt0181689;7.25;7.6;509534;nm0000229;Steven Spielberg
The Pianist;2002;2000s;UK;Drama;150;tt0253474;8;8.5;732598;nm0000591;Roman Polanski
The Two Towers;2002;2000s;USA;Fantasy;179;tt0167261;8.25;8.7;1446016;nm0001392;Peter Jackson
25th Hour;2002;2000s;USA;Drama;135;tt0307901;7.75;7.6;167646;nm0000490;Spike Lee
Dog Soldiers;2002;2000s;UK;Horror;105;tt0280609;7;6.8;54479;nm0551076;Neil Marshall
Gangs of New York;2002;2000s;USA;Drama;167;tt0217505;8.25;7.5;395956;nm0000217;Martin Scorsese
Dirty Pretty things;2002;2000s;UK;Thriller;97;tt0301199;7.25;7.3;40752;nm0001241;Stephen Frears
Oasis;2002;2000s;South Korea;Drama;133;tt0320193;8.25;7.9;7871;nm0496969;Chang-dong Lee
Cidade de Deus;2002;2000s;Brazil;Drama;130;tt0317248;8.5;8.6;684417;nm0576987;Fernando Meirelles
Irréversible;2002;2000s;France;Drama;97;tt0290673;8.5;7.4;116286;nm0637615;Gaspar Noé
Sympathy for Mr.Vengeance;2002;2000s;South Korea;Thriller;129;tt0310775;8.75;7.6;60851;nm0661791;Chan-wook Park
Artificial Intelligence;2001;2000s;USA;SciFi;146;tt0212720;7;7.2;285927;nm0000229;Steven Spielberg
Donnie Darko;2001;2000s;USA;Drama;113;tt0246578;7.5;8;743761;nm0446819;Richard Kelly
La Stanza del Figlio;2001;2000s;Italy;Drama;99;tt0208990;7.5;7.3;17337;nm0604335;Nanni Moretti
Ichi the Killer;2001;2000s;Japan;Action;129;tt0296042;8;7;51294;nm0586281;Takashi Miike
Conspiracy;2001;2000s;USA;Thriller;96;tt0266425;8;7.7;18180;nm0682757;Frank Pierson
Das Experiment;2001;2000s;Germany;Politics;120;tt0250258;8;7.7;89848;nm0386570;Oliver Hirschbiegel
Y tu mama tambien;2001;2000s;Mexico;Drama;106;tt0245574;8;7.6;113412;nm0190859;Alfonso Cuarón
Moulin Rouge!;2001;2000s;USA;Musical;127;tt0203009;7.5;7.6;263250;nm0525303;Baz Luhrmann
The Fellowship of the Ring;2001;2000s;USA;Fantasy;178;tt0120737;9;8.8;1615833;nm0001392;Peter Jackson
Invincible;2001;2000s;UK;Drama;133;tt0245171;7.5;6.4;4000;nm0001348;Werner Herzog
Mulholland Dr.;2001;2000s;USA;Drama;147;tt0166924;8.25;8;311870;nm0000186;David Lynch
The Others;2001;2000s;USA;Horror;101;tt0230600;8.25;7.6;329875;nm0024622;Alejandro Amenábar
Enemy at the Gates;2001;2000s;Ireland;War;131;tt0215750;8.5;7.6;237670;nm0000269;Jean-Jacques Annaud
Le fabuleux destin d'Amélie Poulain;2001;2000s;France;Comedy;122;tt0211915;9.75;8.3;689088;nm0000466;Jean-Pierre Jeunet
Requiem for a Dream;2000;2000s;USA;Drama;102;tt0180093;7;8.3;746377;nm0004716;Darren Aronofsky
Battle Royale;2000;2000s;Japan;Dystopia;114;tt0266308;7.75;7.6;169289;nm0297935;Kinji Fukasaku
The Cell;2000;2000s;USA;Fantasy;107;tt0209958;7;6.3;93706;nm0802248;Tarsem Singh
American Psycho;2000;2000s;USA;Horror;101;tt0144084;7;7.6;470711;nm0366004;Mary Harron
Unbreakable;2000;2000s;USA;Thriller;106;tt0217869;8.25;7.3;379323;nm0796117;M. Night Shyamalan
Brother;2000;2000s;Japan;Crime;114;tt0222851;8;7.2;21421;nm0001429;Takeshi Kitano
Snatch;2000;2000s;UK;Crime;104;tt0208092;7.5;8.3;764723;nm0005363;Guy Ritchie
Pitch Black;2000;2000s;USA;SciFi;109;tt0134847;7.75;7.1;222145;nm0878638;David Twohy
Memento;2000;2000s;USA;SciFi;113;tt0209144;8.5;8.4;1095139;nm0634240;Christopher Nolan
Gladiator;2000;2000s;USA;Historical;155;tt0172495;8;8.5;1304339;nm0000631;Ridley Scott
Crouching Tiger, Hidden Dragon;2000;2000s;China;Action;120;tt0190332;8.5;7.8;249127;nm0000487;Ang Lee
JSA;2000;2000s;South Korea;Thriller;110;tt0260991;8;7.8;25668;nm0661791;Chan-wook Park
Amores Perros;2000;2000s;Mexico;Drama;154;tt0245712;9.25;8.1;218714;nm0327944;Alejandro G. Iñárritu
The Limey;1999;1990s;USA;Thriller;89;tt0165854;7;7;29470;nm0001752;Steven Soderbergh
Boys don't Cry;1999;1990s;USA;Drama;118;tt0171804;7.5;7.5;93397;nm0005303;Kimberly Peirce
Arlington Road;1999;1990s;USA;Thriller;117;tt0137363;7.5;7.2;82663;nm0671210;Mark Pellington
The Green Mile;1999;1990s;USA;Drama;189;tt0120689;7.75;8.8;1157950;nm0001104;Frank Darabont
The Blair Witch Project;1999;1990s;USA;Horror;81;tt0185937;7.75;6.5;227034;nm0617130;Daniel Myrick
Audition;1999;1990s;Japan;Horror;115;tt0235198;7.5;7.2;71243;nm0586281;Takashi Miike
Magnolia;1999;1990s;USA;Drama;188;tt0175880;8.5;8;284112;nm0000759;Paul Thomas Anderson
Fight Club;1999;1990s;USA;Thriller;139;tt0137523;9;8.8;1802405;nm0000399;David Fincher
Man on the Moon;1999;1990s;USA;Drama;118;tt0125664;9;7.4;122031;nm0001232;Milos Forman
Any Given Sunday;1999;1990s;USA;Drama;162;tt0146838;7.25;6.9;110472;nm0000231;Oliver Stone
Ghost Dog;1999;1990s;USA;Drama;116;tt0165798;7.25;7.5;83055;nm0000464;Jim Jarmusch
The Sixth Sense;1999;1990s;USA;Horror;107;tt0167404;8;8.1;892352;nm0796117;M. Night Shyamalan
Eyes Wide Shut;1999;1990s;USA;Thriller;159;tt0120663;7.75;7.4;293594;nm0000040;Stanley Kubrick
American Beauty;1999;1990s;USA;Drama;122;tt0169547;8.5;8.3;1046820;nm0005222;Sam Mendes
Todo sobre mi madre;1999;1990s;Spain;Drama;101;tt0185125;8.5;7.8;86809;nm0000264;Pedro Almodóvar
The Matrix;1999;1990s;USA;SciFi;136;tt0133093;9.5;8.7;1627351;nm0905152.nm0905154;Wachowski Brothers
Sphere;1998;1990s;USA;SciFi;134;tt0120184;7;6.1;97732;nm0001469;Barry Levinson
Fallen;1998;1990s;USA;Crime;124;tt0119099;7;7;79090;nm0387706;Gregory Hoblit
The Truman Show;1998;1990s;USA;Drama;103;tt0120382;8;8.1;907288;nm0001837;Peter Weir
Dark City;1998;1990s;USA;SciFi;100;tt0118929;8;7.6;184822;nm0001639;Alex Proyas
Ringu;1998;1990s;Japan;Horror;96;tt0178868;7.25;7.2;62075;nm0620378;Hideo Nakata
Run Lola;1998;1990s;Germany;Action;81;tt0130827;7.25;7.6;185601;nm0878756;Tom Tykwer
Shakespeare in Love;1998;1990s;USA;Drama;123;tt0138097;7.5;7.1;210629;nm0006960;John Madden
Black Cat White Cat;1998;1990s;Yoguslavia;Drama;127;tt0118843;7.5;8.1;49746;nm0001437;Emir Kusturica
Central do Brasil;1998;1990s;Brazil;Drama;110;tt0140888;8;8;35288;nm0758574;Walter Salles
The Thin Red Line;1998;1990s;USA;War;170;tt0120863;7.5;7.6;168891;nm0000517;Terrence Malick
Lock, Stock and Two Smoking Barrels;1998;1990s;UK;Crime;107;tt0120735;7.75;8.2;523169;nm0005363;Guy Ritchie
American History X;1998;1990s;USA;Thriller;119;tt0120586;8.25;8.5;1011628;nm0443411;Tony Kaye
The Big Lebowski;1998;1990s;USA;Comedy;117;tt0118715;8.25;8.1;711040;nm0001054.nm0001053;Cohen Brothers
Saving Private Ryan;1998;1990s;USA;War;169;tt0120815;8.5;8.6;1200222;nm0000229;Steven Spielberg
Event Horizon;1997;1990s;USA;SciFi;96;tt0119081;7;6.7;154731;nm0027271;Paul W.S. Anderson
La Vita è Bella;1997;1990s;Italy;Drama;116;tt0118799;7.5;8.6;639863;nm0000905;Roberto Benigni
The Game;1997;1990s;USA;Thriller;129;tt0119174;7.25;7.8;350531;nm0000399;David Fincher
As Good as it Gets;1997;1990s;USA;Comedy;139;tt0119822;7.25;7.7;277965;nm0000985;James L. Brooks
Cube;1997;1990s;USA;Horror;90;tt0123755;7.25;7.2;213849;nm0622112;Vincenzo Natali
Funny Games;1997;1990s;USA;Horror;108;tt0119167;8;7.6;62955;nm0359734;Michael Haneke
Perfect Blue;1997;1990s;USA;Horror;81;tt0156887;8;8;53608;nm0464804;Satoshi Kon
Princess Mononoke;1997;1990s;Japan;Fantasy;134;tt0119698;8.5;8.4;334372;nm0594503;Hayao Miyazaki
Hana-bi;1997;1990s;USA;Crime;103;tt0119250;8;7.8;26878;nm0001429;Takeshi Kitano
Bent;1997;1990s;USA;War;105;tt0118698;8;7.2;7541;nm0558773;Sean Mathias
Amistad;1997;1990s;USA;Historical;155;tt0118607;8;7.3;71825;nm0000229;Steven Spielberg
The Fifth Element;1997;1990s;USA;SciFi;126;tt0119116;7.75;7.7;425066;nm0000108;Luc Besson
Jackie Brown;1997;1990s;USA;Drama;154;tt0119396;8.25;7.5;308489;nm0000233;Quentin Tarantino
Gattaca;1997;1990s;USA;SciFi;106;tt0119177;8.5;7.8;275127;nm0629272;Andrew Niccol
Lost Highway;1997;1990s;USA;Drama;134;tt0116922;8.5;7.6;127280;nm0000186;David Lynch
Hamlet;1996;1990s;UK;Historical;242;tt0116477;7;7.7;35481;nm0000110;Kenneth Branagh
Breaking the Waves;1996;1990s;Denmark;Drama;159;tt0115751;8;7.8;61015;nm0001885;Lars von Trier
The Pillow Book;1996;1990s;UK;Drama;126;tt0114134;8;6.7;12182;nm0000425;Peter Greenaway
Looking for Richard;1996;1990s;USA;Drama;112;tt0116913;8;7.3;7798;nm0000199;Al Pacino
Crash;1996;1990s;USA;Drama;100;tt0115964;7.5;6.4;50559;nm0000343;David Cronenberg
Secrets & Lies;1996;1990s;UK;Drama;136;tt0117589;8.25;8;36183;nm0005139;Mike Leigh
Trainspotting;1996;1990s;UK;Drama;93;tt0117951;8.5;8.1;622134;nm0000965;Danny Boyle
Fargo;1996;1990s;USA;Crime;98;tt0116282;8.5;8.1;599227;nm0001053.nm0001054;Cohen Brothers
The Crucible;1996;1990s;USA;Historical;124;tt0115988;8.75;6.8;34539;nm0405336;Nicholas Hytner
Richard III;1995;1990s;UK;Historical;110;tt0114279;7;7.4;13544;nm0518644;Richard Loncraine
Se7en;1995;1990s;USA;Thriller;127;tt0114369;9;8.6;1397478;nm0000399;David Fincher
Before Sunrise;1995;1990s;USA;Drama;101;tt0112471;8;8.1;265342;nm0000500;Richard Linklater
Dead Man;1995;1990s;USA;Western;121;tt0112817;9;7.6;88487;nm0000464;Jim Jarmusch
Heat;1995;1990s;USA;Crime;170;tt0113277;7.5;8.2;560601;nm0000520;Michael Mann
Twelve Monkeys;1995;1990s;USA;SciFi;129;tt0114746;7.75;8;567544;nm0000416;Terry Gilliam
La Haine;1995;1990s;France;Drama;98;tt0113247;8.25;8.1;143777;nm0440913;Mathieu Kassovitz
The Usual Suspects;1995;1990s;USA;Thriller;106;tt0114814;8.5;8.5;966248;nm0001741;Bryan Singer
Casino;1995;1990s;USA;Thriller;178;tt0112641;8.5;8.2;451036;nm0000217;Martin Scorsese
Ghost in the Shell;1995;1990s;Japan;SciFi;83;tt0113568;8.75;8;125077;nm0651900;Mamoru Oshii
Underground;1995;1990s;Yoguslavia;Historical;170;tt0114787;8.75;8.1;54068;nm0001437;Emir Kusturica
The Crow;1994;1990s;USA;Fantasy;102;tt0109506;7;7.6;163279;nm0001639;Alex Proyas
Quiz Show;1994;1990s;USA;Drama;133;tt0110932;7;7.5;65729;nm0000602;Robert Redford
Shallow Grave;1994;1990s;UK;Thriller;89;tt0111149;7;7.3;55695;nm0000965;Danny Boyle
Interview with the Vampire;1994;1990s;USA;Horror;123;tt0110148;8;7.5;288806;nm0001403;Neil Jordan
The Adventures of Priscilla;1994;1990s;Australia;Comedy;104;tt0109045;8;7.4;45538;nm0254632;Stephan Elliott
Natural Born Killers;1994;1990s;USA;Horror;118;tt0110632;7.5;7.3;212077;nm0000231;Oliver Stone
Léon;1994;1990s;France;Thriller;110;tt0110413;8;8.5;1014794;nm0000108;Luc Besson
La Reine Margot;1994;1990s;France;Historical;159;tt0110963;7.5;7.4;15997;nm0161717;Patrice Chéreau
Death and the Maiden;1994;1990s;UK;Thriller;103;tt0109579;7.75;7.3;22014;nm0000591;Roman Polanski
Goodnight Mommy;2014;2010s;Germany;Thriller;99;tt3086442;7.25;6.7;48411;nm3868633;Severin Fiala
Soleil Trompeur;1994;1990s;Russia;Historical;135;tt0111579;8.5;7.9;14016;nm0586482;Nikita Mikhalkov
Ed Wood;1994;1990s;USA;Drama;127;tt0109707;8.75;7.8;162728;nm0000318;Tim Burton
The Shawshank Redemption;1994;1990s;USA;Drama;142;tt0111161;8;9.3;2294586;nm0001104;Frank Darabont
Pulp Fiction;1994;1990s;USA;Crime;154;tt0110912;9.5;8.9;1775279;nm0000233;Quentin Tarantino
Jurassic Park;1993;1990s;USA;SciFi;127;tt0107290;7.75;8.1;841971;nm0000229;Steven Spielberg
Groundhog Day;1993;1990s;USA;Comedy;101;tt0107048;8;8;568232;nm0000601;Harold Ramis
Sonatine;1993;1990s;Japan;Thriller;94;tt0108188;8;7.5;17258;nm0001429;Takeshi Kitano
A Perfect World;1993;1990s;USA;Drama;138;tt0107808;7.25;7.6;72113;nm0000142;Clint Eastwood
The Piano;1993;1990s;New Zealand;Historical;121;tt0107822;7.5;7.6;77251;nm0001005;Jane Campion
Naked;1993;1990s;UK;Drama;132;tt0107653;7.5;7.8;33141;nm0005139;Mike Leigh
Schindler's List;1993;1990s;USA;War;195;tt0108052;8.5;8.9;1179732;nm0000229;Steven Spielberg
In the Name of the Father;1993;1990s;Ireland;War;133;tt0107207;8.5;8.1;152264;nm0006487;Jim Sheridan
Braindead;1992;1990s;New Zealand;Comedy;104;tt0103873;7;7.5;89915;nm0001392;Peter Jackson
Bad Lieutenant;1992;1990s;USA;Crime;96;tt0103759;7;7.1;37723;nm0001206;Abel Ferrara
Alien 3;1992;1990s;USA;Horror;114;tt0103644;8;6.5;271082;nm0000399;David Fincher
Glengarry Glen Ross;1992;1990s;USA;Drama;100;tt0104348;8;7.7;93637;nm0001226;James Foley
The Player;1992;1990s;USA;Drama;124;tt0105151;8;7.5;53234;nm0000265;Robert Altman
Unforgiven;1992;1990s;USA;Western;130;tt0105695;7.75;8.2;366181;nm0000142;Clint Eastwood
Dracula;1992;1990s;USA;Horror;128;tt0103874;8.5;7.4;186692;nm0000338;Francis Ford Coppola
Reservoir Dogs;1992;1990s;USA;Thriller;99;tt0105236;8.75;8.3;894101;nm0000233;Quentin Tarantino
The Last of the Mohicans;1992;1990s;USA;Historical;112;tt0104691;9.25;7.7;145255;nm0000520;Michael Mann
Grand Canyon;1991;1990s;USA;Drama;134;tt0101969;7;6.9;14503;nm0001410;Lawrence Kasdan
Naked Lunch;1991;1990s;Canada;Drama;115;tt0102511;7.5;7.1;47385;nm0000343;David Cronenberg
Night on Earth;1991;1990s;USA;Drama;129;tt0102536;7;7.8;53863;nm0000464;Jim Jarmusch
The Fisher King;1991;1990s;USA;Drama;137;tt0101889;7;7.5;77572;nm0000416;Terry Gilliam
