Title;Year;Decade;Country;Genre;runtimeMinutes;IMDB;Score;averageRating;numVotes;directors;primaryName
Richard Jewell;2019;2010s;USA;Historical;131;tt3513548;7.5;7.5;70586;nm0000142;Clint Eastwood
1917;2019;2010s;USA;War;119;tt8579674;7.5;8.3;466987;nm0005222;Sam Mendes
Avengers: Infinity War;2018;2010s;USA;Action;149;tt4154756;7.75;8.4;943237;nm0751577;Anthony Russo
Dylda, aka Beanpole;2019;2010s;Russia;Drama;130;tt10199640;7.5;7.1;9310;nm8921482;Kantemir Balagov
Mandy;2018;2010s;USA;Horror;121;tt6998518;7;6.6;59150;nm0181903;Panos Cosmatos
A Simple Favor;2018;2010s;USA;Thriller;117;tt7040874;7;6.8;118312;nm0082450;Paul Feig
Upgrade;2018;2010s;USA;Action;100;tt6499752;7;7.5;144283;nm1191481;Leigh Whannell
Hereditary;2018;2010s;USA;Horror;127;tt7784604;8;7.3;219099;nm4170048;Ari Aster
BlacKkKlansman;2018;2010s;USA;Thriller;135;tt7349662;7;7.5;226755;nm0000490;Spike Lee
Arctic;2018;2010s;USA;Thriller;98;tt6820256;8;6.8;39312;nm1020835;Joe Penna
The Ballad of Buster Scruggs;2018;2010s;USA;Western;133;tt6412452;8;7.3;114142;nm0001053.nm0001054;Cohen Brothers
Leave No Trace;2018;2010s;USA;Drama;109;tt3892172;7.5;7.2;46805;nm0335138;Debra Granik
Destroyer;2018;2010s;USA;Thriller;121;tt7137380;7.75;6.2;23407;nm0476201;Karyn Kusama
Burning;2018;2010s;South Korea;Thriller;148;tt7282468;7.5;7.5;43868;nm0496969;Chang-dong Lee
Ying, Shadow;2018;2010s;China;Action;116;tt6864046;7.25;7;13443;nm0955443;Yimou Zhang
The Guilty;2018;2010s;USA;Drama;85;tt6742252;7.5;7.5;39503;nm7546166;Gustav Möller
A Quiet Place;2018;2010s;USA;Horror;90;tt6644200;8.5;7.5;392625;nm1024677;John Krasinski
The Wind;2018;2010s;USA;Horror;86;tt8426594;8.5;5.5;5464;nm0849747;Emma Tammi
The House That Jack Built;2018;2010s;UK;Thriller;152;tt4003440;8.5;6.8;54020;nm0001885;Lars von Trier
The Nightingale;2018;2010s;Australia;Historical;136;tt4068576;9;7.3;17493;nm0448768;Jennifer Kent
First Man;2018;2010s;USA;Drama;141;tt1213641;8.25;7.3;160234;nm3227090;Damien Chazelle
Roma;2018;2010s;Mexico;Drama;135;tt6155172;8;7.7;135069;nm0190859;Alfonso Cuarón
Gerald's Game;2017;2010s;USA;Thriller;103;tt3748172;7;6.6;84629;nm1093039;Mike Flanagan
Thor: Ragnarok;2017;2010s;USA;Action;130;tt3501632;7.5;7.9;658355;nm0169806;Taika Waititi
Happy Death Day;2017;2010s;USA;Horror;96;tt5308322;7.25;6.6;128216;nm0484907;Christopher Landon
Coco;2017;2010s;USA;Fantasy;105;tt2380307;7.75;8.4;405409;nm0881279;Lee Unkrich
Blade of the Immortal;2017;2010s;Japan;Samurai;140;tt5084170;7.5;6.8;15198;nm0586281;Takashi Miike
Three Billboards Outside Ebbing Missouri;2017;2010s;USA;Drama;115;tt5027774;7;8.2;409329;nm1732981;Martin McDonagh
Baby Driver;2017;2010s;USA;Crime;113;tt3890160;7.25;7.6;444418;nm0942367;Edgar Wright
Get Out;2017;2010s;USA;Horror;104;tt5052448;8;7.7;469814;nm1443502;Jordan Peele
The Shape of Water;2017;2010s;USA;Drama;123;tt5580390;8;7.3;356152;nm0868219;Guillermo del Toro
One Cut of the Dead;2017;2010s;Japan;Comedy;96;tt7914416;8.5;7.7;18246;nm7643451;Yûya Nakaizumi
The Villainess;2017;2010s;South Korea;Action;124;tt6777338;7.5;6.7;11456;nm3468066;Byung-gil Jung
Brawl In Cell Block 99;2017;2010s;USA;Action;132;tt5657856;8;7.1;56032;nm0951975;S. Craig Zahler
First Reformed;2017;2010s;USA;Politics;113;tt6053438;7.75;7.1;44869;nm0001707;Paul Schrader
Valerian, the City of a 1000 Planets;2017;2010s;France;Action;136;tt2239822;7.25;6.5;166117;nm0000108;Luc Besson
The Captain;2017;2010s;Germany;War;118;tt6763252;7.5;7.4;11793;nm0777881;Robert Schwentke
Atomic Blonde;2017;2010s;USA;Action;115;tt2406566;7.5;6.7;170262;nm0500610;David Leitch
It;2017;2010s;USA;Horror;135;tt1396484;7.5;7.3;463118;nm0615592;Andy Muschietti
Zama;2017;2010s;Argentina;Historical;115;tt3409848;7;6.8;5680;nm0551506;Lucrecia Martel
