Title;Year;Country;Genre;IMDB;Score;directors;primaryName
Tori et Lokita;2022;Belgium;Drama;tt18317064;7.75;nm0201094;Jean-Pierre Dardenne
Chor Nikal Ke Bhaga;2023;India;Crime;tt22297828;7.25;nm3675099;Ajay Singh
Man of God;2021;Greece;Historical;tt6060964;7.5;nm0660528;Yelena Popovic
The Goat and her three Kids;2023;Romania;Horror;tt12981538;8;nm5970946;Victor Canache
I See You;2023;USA;Thriller;tt6079516;7.5;nm1726691;Adam Randall
D&D: Honor Among Thieves;2023;USA;Fantasy;tt2906216;7.5;nm0197855;John Francis Daley
Kill Boksoon;2023;South Korea;Action;tt16900880;7;nm2604863;Sung-hyun Byun
John Wick 4;2023;USA;Action;tt10366206;8.25;nm0821432;Chad Stahelski
Close;2022;Belgium;Drama;tt9660502;8;nm4080113;Lukas Dhont
Living;2022;UK;Drama;tt9051908;8;nm3564996;Oliver Hermanus
Wife of a Spy;2020;Japan;War;tt11917942;8;nm0475905;Kiyoshi Kurosawa
The Whale;2022;USA;Drama;tt13833688;8.75;nm0004716;Darren Aronofsky
Illusions Perdues;2021;France;Drama;tt10505316;8.5;nm0316306;Xavier Giannoli
Women Talking;2022;USA;Drama;tt13669038;7;nm0001631;Sarah Polley
Corsage;2022;Germany;Historical;tt11992694;7.25;nm1001232;Marie Kreutzer
Knock at the Cabin;2023;USA;Thriller;tt15679400;7;nm0796117;M. Night Shyamalan
Return to Dust;2022;China;Drama;tt17097088;8.5;nm4772581;Ruijun Li
Infinity Pool;2023;Canada;Horror;tt10365998;7.5;nm0188722;Brandon Cronenberg
Babylon;2022;USA;Drama;tt10640346;7.5;nm3227090;Damien Chazelle
M3gan;2022;USA;Horror;tt8760708;7.75;nm2067421;Gerard Johnstone
Possessor;2020;Canada;SciFi;tt5918982;7.25;nm0188722;Brandon Cronenberg
As Bestas;2022;Spain;Drama;tt15006566;8.25;nm2507695;Rodrigo Sorogoyen
Otac, Father;2020;Serbia;Drama;tt9048802;8.75;nm0326740;Srdan Golubovic
Red Post on Escher St;2020;Japan;Comedy;tt13245934;7.5;nm0814469;Sion Sono
Sick;2022;USA;Horror;tt14642626;7;nm0404882;John Hyams
There is no Evil;2020;Iran;Drama;tt11697844;8;nm1488024;Mohammad Rasoulof
