Title;Year;Country;Genre;IMDB;Score;directors;primaryName
American History X;1998;USA;Thriller;tt0120586;8.25;nm0443411;Tony Kaye
The Big Lebowski;1998;USA;Comedy;tt0118715;8.25;nm0001054.nm0001053;Cohen Brothers
Saving Private Ryan;1998;USA;War;tt0120815;8.5;nm0000229;Steven Spielberg
Event Horizon;1997;USA;SciFi;tt0119081;7;nm0027271;Paul W.S. Anderson
Snow White: A Tale of Terror;1997;USA;Horror;tt0119227;7.5;nm0169931;Michael Cohn
La Vita è Bella;1997;Italy;Drama;tt0118799;7.5;nm0000905;Roberto Benigni
The Game;1997;USA;Thriller;tt0119174;7.25;nm0000399;David Fincher
Alien Resurrection;1997;USA;Horror;tt0118583;7.5;nm0000466;Jean-Pierre Jeunet
As Good as it Gets;1997;USA;Comedy;tt0119822;7.25;nm0000985;James L. Brooks
Cube;1997;USA;Horror;tt0123755;7.25;nm0622112;Vincenzo Natali
Funny Games;1997;USA;Horror;tt0119167;8;nm0359734;Michael Haneke
Perfect Blue;1997;USA;Horror;tt0156887;8;nm0464804;Satoshi Kon
Princess Mononoke;1997;Japan;Fantasy;tt0119698;8.5;nm0594503;Hayao Miyazaki
Hana-bi;1997;USA;Crime;tt0119250;8;nm0001429;Takeshi Kitano
Bent;1997;USA;War;tt0118698;8;nm0558773;Sean Mathias
Amistad;1997;USA;Historical;tt0118607;8;nm0000229;Steven Spielberg
The Fifth Element;1997;USA;SciFi;tt0119116;7.75;nm0000108;Luc Besson
Jackie Brown;1997;USA;Drama;tt0119396;8.25;nm0000233;Quentin Tarantino
Gattaca;1997;USA;SciFi;tt0119177;8.5;nm0629272;Andrew Niccol
Lost Highway;1997;USA;Drama;tt0116922;8.5;nm0000186;David Lynch
Hamlet;1996;UK;Historical;tt0116477;7;nm0000110;Kenneth Branagh
Breaking the Waves;1996;Denmark;Drama;tt0115751;8;nm0001885;Lars von Trier
The Pillow Book;1996;UK;Drama;tt0114134;8;nm0000425;Peter Greenaway
Looking for Richard;1996;USA;Drama;tt0116913;8;nm0000199;Al Pacino
Crash;1996;USA;Drama;tt0115964;7.5;nm0000343;David Cronenberg
Secrets & Lies;1996;UK;Drama;tt0117589;8.25;nm0005139;Mike Leigh
Trainspotting;1996;UK;Drama;tt0117951;8.5;nm0000965;Danny Boyle
Fargo;1996;USA;Crime;tt0116282;8.5;nm0001053.nm0001054;Cohen Brothers
The Crucible;1996;USA;Historical;tt0115988;8.75;nm0405336;Nicholas Hytner
Richard III;1995;UK;Historical;tt0114279;7;nm0518644;Richard Loncraine
Braveheart;1995;USA;Historical;tt0112573;7.25;nm0000154;Mel Gibson
A Comédia de Deus;1995;Portugal;Comedy;tt0112710;7.25;nm0599214;João César Monteiro
Se7en;1995;USA;Thriller;tt0114369;9;nm0000399;David Fincher
Before Sunrise;1995;USA;Drama;tt0112471;8;nm0000500;Richard Linklater
Dead Man;1995;USA;Western;tt0112817;9;nm0000464;Jim Jarmusch
Heat;1995;USA;Crime;tt0113277;7.5;nm0000520;Michael Mann
Twelve Monkeys;1995;USA;SciFi;tt0114746;7.75;nm0000416;Terry Gilliam
La Haine;1995;France;Drama;tt0113247;8.25;nm0440913;Mathieu Kassovitz
The Usual Suspects;1995;USA;Thriller;tt0114814;8.5;nm0001741;Bryan Singer
Casino;1995;USA;Thriller;tt0112641;8.5;nm0000217;Martin Scorsese
Ghost in the Shell;1995;Japan;SciFi;tt0113568;8.75;nm0651900;Mamoru Oshii
Underground;1995;Yoguslavia;Historical;tt0114787;8.75;nm0001437;Emir Kusturica
The Crow;1994;USA;Fantasy;tt0109506;7;nm0001639;Alex Proyas
Forrest Gump;1994;USA;Comedy;tt0109830;7;nm0000709;Robert Zemeckis
Quiz Show;1994;USA;Drama;tt0110932;7;nm0000602;Robert Redford
Shallow Grave;1994;UK;Thriller;tt0111149;7;nm0000965;Danny Boyle
Interview with the Vampire;1994;USA;Horror;tt0110148;8;nm0001403;Neil Jordan
The Adventures of Priscilla;1994;Australia;Comedy;tt0109045;8;nm0254632;Stephan Elliott
Natural Born Killers;1994;USA;Horror;tt0110632;7.5;nm0000231;Oliver Stone
Léon;1994;France;Thriller;tt0110413;8;nm0000108;Luc Besson
La Reine Margot;1994;France;Historical;tt0110963;7.5;nm0161717;Patrice Chéreau
Death and the Maiden;1994;UK;Thriller;tt0109579;7.75;nm0000591;Roman Polanski
Goodnight Mommy;2014;Germany;Thriller;tt3086442;7.25;nm3868633;Severin Fiala
Soleil Trompeur;1994;Russia;Historical;tt0111579;8.5;nm0586482;Nikita Mikhalkov
Ed Wood;1994;USA;Drama;tt0109707;8.75;nm0000318;Tim Burton
The Shawshank Redemption;1994;USA;Drama;tt0111161;8;nm0001104;Frank Darabont
Pulp Fiction;1994;USA;Crime;tt0110912;9.5;nm0000233;Quentin Tarantino
Jurassic Park;1993;USA;SciFi;tt0107290;7.75;nm0000229;Steven Spielberg
Groundhog Day;1993;USA;Comedy;tt0107048;8;nm0000601;Harold Ramis
Sonatine;1993;Japan;Thriller;tt0108188;8;nm0001429;Takeshi Kitano
A Perfect World;1993;USA;Drama;tt0107808;7.25;nm0000142;Clint Eastwood
The Piano;1993;New Zealand;Historical;tt0107822;7.5;nm0001005;Jane Campion
Naked;1993;UK;Drama;tt0107653;7.75;nm0005139;Mike Leigh
Schindler's List;1993;USA;War;tt0108052;8.5;nm0000229;Steven Spielberg
In the Name of the Father;1993;Ireland;War;tt0107207;8.5;nm0006487;Jim Sheridan
Braindead;1992;New Zealand;Comedy;tt0103873;7;nm0001392;Peter Jackson
Basic Instinct;1992;USA;Thriller;tt0103772;7;nm0000682;Paul Verhoeven
Bad Lieutenant;1992;USA;Crime;tt0103759;7;nm0001206;Abel Ferrara
Alien 3;1992;USA;Horror;tt0103644;8;nm0000399;David Fincher
Glengarry Glen Ross;1992;USA;Drama;tt0104348;8;nm0001226;James Foley
The Player;1992;USA;Drama;tt0105151;8.25;nm0000265;Robert Altman
Unforgiven;1992;USA;Western;tt0105695;7.75;nm0000142;Clint Eastwood
Dracula;1992;USA;Horror;tt0103874;8.5;nm0000338;Francis Ford Coppola
Reservoir Dogs;1992;USA;Thriller;tt0105236;8.75;nm0000233;Quentin Tarantino
The Last of the Mohicans;1992;USA;Historical;tt0104691;9.25;nm0000520;Michael Mann
Grand Canyon;1991;USA;Drama;tt0101969;7;nm0001410;Lawrence Kasdan
Naked Lunch;1991;Canada;Drama;tt0102511;7.5;nm0000343;David Cronenberg
Night on Earth;1991;USA;Drama;tt0102536;7;nm0000464;Jim Jarmusch
The Fisher King;1991;USA;Drama;tt0101889;7;nm0000416;Terry Gilliam
Thelma & Louise;1991;USA;Drama;tt0103074;8;nm0000631;Ridley Scott
Barton Fink;1991;USA;Drama;tt0101410;8;nm0001053.nm0001054;Cohen Brothers
Delicatessen;1991;USA;Comedy;tt0101700;7.75;nm0001988;Marc Caro
Europa;1991;USA;War;tt0101829;7.5;nm0001885;Lars von Trier
Terminator 2: Judgment Day;1991;USA;SciFi;tt0103064;8.5;nm0000116;James Cameron
The Silence of the Lambs;1991;USA;Thriller;tt0102926;9.5;nm0001129;Jonathan Demme
Jacob's Ladder;1990;USA;Horror;tt0099871;7;nm0001490;Adrian Lyne
I Love You to Death;1990;USA;Comedy;tt0099819;7.5;nm0001410;Lawrence Kasdan
Awakenings;1990;USA;Drama;tt0099077;7.75;nm0001508;Penny Marshall
Total Recall;1990;USA;SciFi;tt0100802;7.5;nm0000682;Paul Verhoeven
The Godfather: Part III;1990;USA;Drama;tt0099674;8;nm0000338;Francis Ford Coppola
'Non', ou A Vã Glória de Mandar;1990;Portugal;War;tt0100269;7;nm0210701;Manoel de Oliveira
Wild at Heart;1990;USA;Drama;tt0100935;8;nm0000186;David Lynch
Miller's Crossing;1990;USA;Crime;tt0100150;9;nm0001054.nm0001053;Cohen Brothers
Goodfellas;1990;USA;Crime;tt0099685;9;nm0000217;Martin Scorsese
Cyrano de Bergerac;1990;France;Historical;tt0099334;9.25;nm0710919;Jean-Paul Rappeneau
Dances with Wolves;1990;USA;Western;tt0099348;7.5;nm0000126;Kevin Costner
The Exorcist III;1990;USA;Horror;tt0099528;8.25;nm0087861;William Peter Blatty
Misery;1990;USA;Horror;tt0100157;8.5;nm0001661;Rob Reiner
Rosencrantz & Guildenstern Are Dead;1990;UK;Comedy;tt0100519;8.75;nm0001779;Tom Stoppard
The Abyss;1989;USA;SciFi;tt0096754;7.25;nm0000116;James Cameron
Metamorphosis;1989;UK;Drama;tt0093530;7.75;nm0323795;Jim Goddard
Recordações da Casa Amarela;1989;Portugal;Drama;tt0098175;7.75;nm0599214;João César Monteiro
Dead Poets Society;1989;UK;Drama;tt0097165;8;nm0001837;Peter Weir
Crimes and Misdemeanors;1989;USA;Thriller;tt0097123;8;nm0000095;Woody Allen
Winter War;1989;Finland;War;tt0098437;7.5;nm0661502;Pekka Parikka
Born on the Fourth of July;1989;USA;War;tt0096969;7.5;nm0000231;Oliver Stone
Henry V;1989;UK;Historical;tt0097499;7.5;nm0000110;Kenneth Branagh
The Killer;1989;Hong Kong;Thriller;tt0097202;7.5;nm0000247;John Woo
Violent Cop;1989;Japan;Crime;tt0098360;7.5;nm0001429;Takeshi Kitano
Do the Right Thing;1989;USA;Drama;tt0097216;8.25;nm0000490;Spike Lee
The Cook, the Thief, His Wife & Her Lover;1989;UK;Horror;tt0097108;8.5;nm0000425;Peter Greenaway
Kiki's Delivery Service;1989;Japan;Fantasy;tt0097814;7.75;nm0594503;Hayao Miyazaki
High Hopes;1988;UK;Drama;tt0095302;7;nm0005139;Mike Leigh
Rain Man;1988;USA;Drama;tt0095953;7.5;nm0001469;Barry Levinson
Dangerous Liaisons;1988;USA;Drama;tt0094947;7.25;nm0001241;Stephen Frears
The Accused;1988;USA;Drama;tt0094608;7;nm0438279;Jonathan Kaplan
Mississippi Burning;1988;USA;Thriller;tt0095647;8;nm0000570;Alan Parker
Time of the Gypsies;1988;Yoguslavia;Drama;tt0097223;8;nm0001437;Emir Kusturica
Akira;1988;Japan;SciFi;tt0094625;8;nm0960028;Katsuhiro Ôtomo
The Last Temptation of Christ;1988;USA;Historical;tt0095497;7.5;nm0000217;Martin Scorsese
Spoorloos;1988;Netherlands;Thriller;tt0096163;8;nm0806293;George Sluizer
Dead Ringers;1988;USA;Horror;tt0094964;7.5;nm0000343;David Cronenberg
They Live;1988;USA;SciFi;tt0096256;8.25;nm0000118;John Carpenter
Die Hard;1988;USA;Thriller;tt0095016;7.75;nm0001532;John McTiernan
A Fish called Wanda;1988;USA;Comedy;tt0095159;7.75;nm0187769;Charles Crichton
Cinema Paradiso;1988;Italy;Drama;tt0095765;8.5;nm0868153;Giuseppe Tornatore
Who Framed Roger Rabbit;1988;USA;Comedy;tt0096438;7.5;nm0000709;Robert Zemeckis
Talk Radio;1988;USA;Drama;tt0096219;8.5;nm0000231;Oliver Stone
Mujeres al borde de un Ataque de Nervios;1988;Spain;Drama;tt0095675;8.75;nm0000264;Pedro Almodóvar
The Untouchables;1987;USA;Crime;tt0094226;7.25;nm0000361;Brian De Palma
Wall Street;1987;USA;Crime;tt0094291;7.5;nm0000231;Oliver Stone
Wings of Desire;1987;Germany;Drama;tt0093191;8;nm0000694;Wim Wenders
Robocop;1987;USA;SciFi;tt0093870;8;nm0000682;Paul Verhoeven
The Hidden;1987;USA;SciFi;tt0093185;7.25;nm0794791;Jack Sholder
Highlander;1986;USA;Fantasy;tt0091203;7.5;nm0611683;Russell Mulcahy
Evil Dead II;1987;USA;Horror;tt0092991;7.5;nm0000600;Sam Raimi
Radio Days;1987;USA;Comedy;tt0093818;7.25;nm0000095;Woody Allen
Raising Arizona;1987;USA;Comedy;tt0093822;7.5;nm0001053.nm0001054;Cohen Brothers
Predator;1987;USA;Horror;tt0093773;8.25;nm0001532;John McTiernan
House of Games;1987;USA;Thriller;tt0093223;8.25;nm0000519;David Mamet
Empire of the Sun;1987;USA;War;tt0092965;8.25;nm0000229;Steven Spielberg
Full Metal Jacket;1987;USA;War;tt0093058;8.75;nm0000040;Stanley Kubrick
Indiana Jones and the Last Crusade;1987;USA;Action;tt0097576;7.25;nm0000229;Steven Spielberg
The Hitcher;1986;USA;Horror;tt0091209;7;nm0363553;Robert Harmon
Der Name der Rose;1986;Germany;Historical;tt0091605;8;nm0000269;Jean-Jacques Annaud
The Fly;1986;USA;Horror;tt0091064;8;nm0000343;David Cronenberg
Salvador;1986;USA;Drama;tt0091886;8;nm0000231;Oliver Stone
The Color of Money;1986;USA;Drama;tt0090863;7.5;nm0000217;Martin Scorsese
Aliens;1986;USA;Horror;tt0090605;9;nm0000116;James Cameron
Blue Velvet;1986;USA;Thriller;tt0090756;9;nm0000186;David Lynch
Manhunter;1986;USA;Thriller;tt0091474;7.5;nm0000520;Michael Mann
Henry: Portrait of a Serial Killer;1986;USA;Horror;tt0099763;8.25;nm0573796;John McNaughton
Platoon;1986;USA;War;tt0091763;8.5;nm0000231;Oliver Stone
Hannah and Her Sisters;1986;USA;Drama;tt0091167;8.5;nm0000095;Woody Allen
The Mission;1986;USA;Historical;tt0091530;8.75;nm0423646;Roland Joffé
Agnes of God;1985;USA;Drama;tt0088683;7;nm0422484;Norman Jewison
Back to the Future;1985;USA;Comedy;tt0088763;8.25;nm0000709;Robert Zemeckis
Brazil;1985;UK;Dystopia;tt0088846;9;nm0000416;Terry Gilliam
Come and See;1985;Russia;War;tt0091251;9;nm0459552;Elem Klimov
Ran;1985;Japan;Samurai;tt0089881;9;nm0000041;Akira Kurosawa
Ladyhawke;1985;USA;Fantasy;tt0089457;7.5;nm0001149;Richard Donner
The Color Purple;1985;USA;Drama;tt0088939;8.5;nm0000229;Steven Spielberg
The Goonies;1985;USA;Comedy;tt0089218;7.75;nm0001149;Richard Donner
The Killing Fields;1984;USA;War;tt0087553;8;nm0423646;Roland Joffé
The Neverending Story;1984;Germany;Fantasy;tt0088323;7;nm0000583;Wolfgang Petersen
Ghostbusters;1984;USA;Comedy;tt0087332;7.25;nm0718645;Ivan Reitman
Paris, Texas;1984;USA;Drama;tt0087884;7.5;nm0000694;Wim Wenders
A Nightmare on Elm Street;1984;USA;Horror;tt0087800;8;nm0000127;Wes Craven
Nineteen Eighty-Four;1984;UK;Dystopia;tt0087803;7.5;nm0705535;Michael Radford
Once Upon a Time in America;1984;USA;Drama;tt0087843;8.5;nm0001466;Sergio Leone
The Terminator;1984;USA;SciFi;tt0088247;8.5;nm0000116;James Cameron
Amadeus;1984;USA;Historical;tt0086879;9.25;nm0001232;Milos Forman
The Day After;1983;UK;Dystopia;tt0085404;8;nm0583292;Nicholas Meyer
The Big Chill;1983;USA;Drama;tt0085244;7;nm0001410;Lawrence Kasdan
Videodrome;1983;USA;SciFi;tt0086541;8;nm0000343;David Cronenberg
Return of the Jedi;1983;USA;Fantasy;tt0086190;8;nm0549658;Richard Marquand
The Meaning of Life;1983;UK;Comedy;tt0085959;8;nm0001402.nm0000416;Terry Gilliam
Testament;1983;USA;Dystopia;tt0086429;7.5;nm0003313;Lynne Littman
Scarface;1983;USA;Crime;tt0086250;8.5;nm0000361;Brian De Palma
The Ballad of Narayama;1983;Japan;Drama;tt0084390;8.5;nm0408076;Shôhei Imamura
Danton;1983;France;Historical;tt0083789;8.75;nm0906667;Andrzej Wajda
Poltergeist;1982;USA;Horror;tt0084516;7;nm0001361;Tobe Hooper
First Blood;1982;USA;War;tt0083944;7.5;nm0467646;Ted Kotcheff
Made in Britain;1982;UK;Drama;tt0084287;7;nm0164639;Alan Clarke
Missing;1982;USA;Drama;tt0084335;8;nm0002020;Costa-Gavras
Fitzcarraldo;1982;Germany;Historical;tt0083946;8;nm0001348;Werner Herzog
ET;1982;USA;SciFi;tt0083866;8;nm0000229;Steven Spielberg
Sophie's Choice;1982;USA;War;tt0084707;8;nm0001587;Alan J. Pakula
Conan the Barbarian;1982;USA;Fantasy;tt0082198;9;nm0587518;John Milius
White Dog;1982;USA;Drama;tt0084899;8.25;nm0002087;Samuel Fuller
The Verdict;1982;USA;Drama;tt0084855;8.5;nm0001486;Sidney Lumet
The Thing;1982;USA;Horror;tt0084787;9.25;nm0000118;John Carpenter
Blade Runner;1982;USA;SciFi;tt1856101;9.5;nm0000631;Ridley Scott
Excalibur;1981;UK;Fantasy;tt0082348;9;nm0000958;John Boorman
The Evil Dead;1981;USA;Horror;tt0083907;7.5;nm0000600;Sam Raimi
Time Bandits;1981;UK;Comedy;tt0081633;7;nm0000416;Terry Gilliam
Escape from New York;1981;USA;Dystopia;tt0082340;7.5;nm0000118;John Carpenter
La guerre du feu;1981;France;Historical;tt0082484;8.5;nm0000269;Jean-Jacques Annaud
Mad Max 2, The Road Warrior;1981;Australia;Dystopia;tt0082694;7.75;nm0004306;George Miller
Raiders of the Lost Ark;1981;USA;Action;tt0082971;9.25;nm0000229;Steven Spielberg
Das Boot;1981;Germany;War;tt0082096;9.5;nm0000583;Wolfgang Petersen
The Changeling;1980;USA;Horror;tt0080516;7;nm0575389;Peter Medak
Cruising;1980;USA;Drama;tt0080569;7.25;nm0001243;William Friedkin
Airplane!;1980;USA;Comedy;tt0080339;7.5;nm0000720;Jim Abrahams
The Fog;1980;USA;Horror;tt0080749;8;nm0000118;John Carpenter
The Empire Strikes Back;1980;USA;Fantasy;tt0080684;9;nm0449984;Irvin Kershner
Kagemusha;1980;USA;Samurai;tt0080979;9;nm0000041;Akira Kurosawa
Raging Bull;1980;USA;Drama;tt0081398;9.5;nm0000217;Martin Scorsese
The Shining;1980;USA;Horror;tt0081505;9.5;nm0000040;Stanley Kubrick
Manhattan;1979;USA;Drama;tt0079522;8;nm0000095;Woody Allen
Nosferatu;1979;Germany;Horror;tt0079641;8;nm0001348;Werner Herzog
Alien;1979;USA;Horror;tt0078748;10;nm0000631;Ridley Scott
The Brood;1979;Canada;Horror;tt0078908;7.5;nm0000343;David Cronenberg
Stalker;1979;Russia;SciFi;tt0079944;8.25;nm0001789;Andrei Tarkovsky
Being There;1979;UK;Drama;tt0078841;8.5;nm0000797;Hal Ashby
Life of Brian;1979;UK;Comedy;tt0079470;8.75;nm0001402;Terry Jones
Apocalypse Now;1979;USA;War;tt0078788;9.5;nm0000338;Francis Ford Coppola
The Lord of the Rings;1978;USA;Fantasy;tt0077869;7.25;nm0000835;Ralph Bakshi
Halloween;1978;USA;Horror;tt0077651;8.25;nm0000118;John Carpenter
Dawn of the Dead;1978;USA;Horror;tt0363547;7.75;nm0001681;George A. Romero
The Boys from Brazil;1978;USA;Thriller;tt0077269;7.5;nm0769874;Franklin J. Schaffner
Invasion of the Body Snatchers;1978;USA;SciFi;tt0077745;7.75;nm0442241;Philip Kaufman
Midnight Express;1978;USA;Drama;tt0077928;8.75;nm0000570;Alan Parker
The Deer Hunter;1978;USA;War;tt0077416;9.5;nm0001047;Michael Cimino
Star Wars;1977;USA;Fantasy;tt0076759;8.25;nm0000184;George Lucas
Equus;1977;USA;Drama;tt0075995;8;nm0001486;Sidney Lumet
The Serpent's Egg;1977;Germany;Historical;tt0076686;7.5;nm0000005;Ingmar Bergman
Cross of Iron;1977;USA;War;tt0074695;8.25;nm0001603;Sam Peckinpah
Annie Hall;1977;USA;Drama;tt0075686;8.5;nm0000095;Woody Allen
Close Encounters of the Third Kind;1977;USA;SciFi;tt0075860;8.5;nm0000229;Steven Spielberg
Sorcerer;1977;USA;Thriller;tt0076740;9;nm0001243;William Friedkin
Marathon Man;1976;USA;Thriller;tt0074860;8;nm0772259;John Schlesinger
Logan's Run;1976;USA;SciFi;tt0074812;7.5;nm0027183;Michael Anderson
The Eagle Has Landed;1976;USA;War;tt0074452;7.5;nm0836328;John Sturges
Le Locataire;1976;France;Thriller;tt0074811;8.25;nm0000591;Roman Polanski
Brutti, Sporchi e Cattivi;1976;Italy;Comedy;tt0074252;8.5;nm0778633;Ettore Scola
Rocky;1976;USA;Drama;tt0075148;8.5;nm0000814;John G. Avildsen
All the President's Men;1976;USA;Thriller;tt0074119;8.5;nm0001587;Alan J. Pakula
Network;1976;USA;Drama;tt0074958;8.75;nm0001486;Sidney Lumet
Taxi Driver;1976;USA;Drama;tt0075314;9.25;nm0000217;Martin Scorsese
Dog Day Afternoon;1975;USA;Drama;tt0072890;8;nm0001486;Sidney Lumet
The Stepford Wives;1975;USA;SciFi;tt0073747;7.75;nm0285302;Bryan Forbes
Dersu Uzala;1975;Japan;Drama;tt0071411;8;nm0000041;Akira Kurosawa
Rollerball;1975;USA;Dystopia;tt0073631;7.25;nm0422484;Norman Jewison
Jaws;1975;USA;Horror;tt0073195;9;nm0000229;Steven Spielberg
Monty Python and the Holy Grail;1975;UK;Comedy;tt0071853;8.5;nm0000416;Terry Gilliam
Section Spéciale;1975;France;Historical;tt0073679;8.5;nm0002020;Costa-Gavras
Barry Lyndon;1975;USA;Historical;tt0072684;8.75;nm0000040;Stanley Kubrick
One Flew Over the Cuckoo's Nest;1975;USA;Drama;tt0073486;9.5;nm0001232;Milos Forman
The Texas Chain Saw Massacre;1974;USA;Horror;tt0072271;8;nm0001361;Tobe Hooper
Death Wish;1974;USA;Crime;tt0071402;7;nm0935382;ichael Winner
Bring Me the Head of Alfredo Garcia;1974;USA;Western;tt0071249;8;nm0001603;Sam Peckinpah
A Woman Under the Influence;1974;USA;Drama;tt0072417;8.5;nm0001023;John Cassavetes
Chinatown;1974;USA;Crime;tt0071315;9.25;nm0000591;Roman Polanski
The Conversation;1974;USA;Thriller;tt0071360;9.25;nm0000338;Francis Ford Coppola
The Godfather: Part II;1974;USA;Drama;tt0071562;9.75;nm0000338;Francis Ford Coppola
Don't Look Now;1973;USA;Horror;tt0069995;7;nm0001676;Nicolas Roeg
Robin Hood;1973;USA;Comedy;tt0070608;7.25;nm0718627;Wolfgang Reitherman
The Wicker Man;1973;USA;Thriller;tt0070917;7.5;nm0362736;Robin Hardy
WestWorld;1973;USA;SciFi;tt0070909;7.25;nm0000341;Michael Crichton
Soylent Green;1973;USA;Dystopia;tt0070723;8;nm0281507;Richard Fleischer
Papillon;1973;USA;Thriller;tt0070511;9;nm0769874;Franklin J. Schaffner
Pat Garrett and Billy the Kid;1973;USA;Western;tt0070518;7.5;nm0001603;Sam Peckinpah
The Offence;1973;USA;Drama;tt0070468;8.5;nm0001486;Sidney Lumet
Serpico;1973;USA;Crime;tt0070666;8.5;nm0001486;Sidney Lumet
The Exorcist;1973;USA;Horror;tt0070047;9.5;nm0001243;William Friedkin
Solyaris;1972;Russia;SciFi;tt0069293;8;nm0001789;Andrei Tarkovsky
Z.P.G.;1972;USA;SciFi;tt0069530;7;nm0133384;Michael Campus
Ultimo Tango a Parigi;1972;Italy;Drama;tt0070849;7;nm0000934;Bernardo Bertolucci
The Way of the Dragon;1972;Hong Kong;Action;tt0068935;7.5;nm0000045;Bruce Lee
Silent Running;1972;USA;SciFi;tt0067756;7;nm0874320;Douglas Trumbull
Mad Max;1979;Australia;Dystopia;tt0079501;7;nm0004306;George Miller
The Towering Inferno;1974;USA;Thriller;tt0072308;7.5;nm0347086;John Guillermin
Assault on Precinct 13;1976;USA;Thriller;tt0074156;7.5;nm0000118;John Carpenter
La Planète Sauvage;1973;France;Fantasy;tt0070544;7.5;nm0482537;René Laloux
Love and Death;1975;USA;Comedy;tt0073312;8.25;nm0000095;Woody Allen
Jeremiah Johnson;1972;USA;Western;tt0068762;9;nm0001628;Sydney Pollack
Deliverance;1972;USA;Thriller;tt0068473;8.5;nm0000958;John Boorman
État de siège;1972;France;Historical;tt0070959;8.5;nm0002020;Costa-Gavras
Aguirre, der Zorn Gottes;1972;Germany;Historical;tt0068182;8.75;nm0001348;Werner Herzog
The Godfather;1972;USA;Drama;tt0068646;9.5;nm0000338;Francis Ford Coppola
Duel;1971;USA;Horror;tt0067023;8;nm0000229;Steven Spielberg
10 Rillington Place;1971;UK;Horror;tt0066730;7.5;nm0281507;Richard Fleischer
Straw Dogs;1971;USA;Thriller;tt0067800;7.75;nm0001603;Sam Peckinpah
Willy Wonka & the Chocolate Factory;1971;USA;Musical;tt0067992;7.25;nm0835799;Mel Stuart
Get Carter;1971;UK;Crime;tt0067128;7.75;nm0388198;Mike Hodges
The French Connection;1971;USA;Crime;tt0067116;8.5;nm0001243;William Friedkin
The Andromeda Strain;1971;USA;SciFi;tt0066769;8.75;nm0936404;Robert Wise
A Clockwork Orange;1971;UK;Dystopia;tt0066921;9;nm0000040;Stanley Kubrick
Colossus: The Forbin Project;1970;USA;SciFi;tt0064177;9;nm0765121;Joseph Sargent
A Man Called Horse;1970;USA;Western;tt0066049;8.5;nm0799033;Elliot Silverstein
L'aveu;1970;France;Historical;tt0065439;8.5;nm0002020;Costa-Gavras
Butch Cassidy and the Sundance Kid;1969;USA;Western;tt0064115;7.75;nm0001351;George Roy Hill
Midnight Cowboy;1969;USA;Drama;tt0064665;8;nm0772259;John Schlesinger
Easy Rider;1969;USA;Drama;tt0064276;8;nm0000454;Dennis Hopper
The Wild Bunch;1969;USA;Western;tt0065214;8;nm0001603;Sam Peckinpah
They Shoot Horses, Don't They?;1969;USA;Drama;tt0065088;8.25;nm0001628;Sydney Pollack
Z;1969;France;Drama;tt0065234;8.5;nm0002020;Costa-Gavras
Take the Money and Run;1969;USA;Comedy;tt0065063;7.25;nm0000095;Woody Allen
THX 1138;1971;USA;Dystopia;tt0066434;7;nm0000184;George Lucas
2001, A Space Odissey;1968;USA;SciFi;tt0062622;9.75;nm0000040;Stanley Kubrick
Bullitt;1968;USA;Crime;tt0062765;7.75;nm0946811;Peter Yates
Once Upon a Time in the West;1968;Italy;Western;tt0064116;9.5;nm0001466;Sergio Leone
Rosemary's baby;1968;USA;Horror;tt0063522;8.5;nm0000591;Roman Polanski
Planet of the Apes;1968;USA;Dystopia;tt0063442;7.5;nm0769874;Franklin J. Schaffner
Night of the Living Dead;1968;USA;Horror;tt0063350;7.75;nm0001681;George A. Romero
The Lion in the Winter;1968;UK;Historical;tt0063227;8;nm0367431;Anthony Harvey
Faces;1968;USA;Drama;tt0062952;7.5;nm0001023;John Cassavetes
Targets;1968;USA;Thriller;tt0063671;7.5;nm0000953;Peter Bogdanovich
The Shoes of the Fisherman;1968;USA;Drama;tt0063599;7;nm0027183;Michael Anderson
Boogie Nights;1997;USA;Drama;tt0118749;8;nm0000759;Paul Thomas Anderson
The Crying Game;1992;UK;Thriller;tt0104036;7.25;nm0001403;Neil Jordan
Absence of Malice;1981;USA;Drama;tt0081974;7.5;nm0001628;Sydney Pollack
The Dresser;1983;UK;Drama;tt0085461;8.25;nm0946811;Peter Yates
Bonnie and Cyde;1967;USA;Thriller;tt0061418;8;nm0671957;Arthur Penn
Cool Hand Luke;1967;USA;Drama;tt0061512;8.25;nm0742341;Stuart Rosenberg
Dance of the Vampires;1967;USA;Comedy;tt0061655;7;nm0000591;Roman Polanski
Le Samourai;1967;France;Crime;tt0062229;8;nm0578483;Jean-Pierre Melville
My Fair Lady;1964;USA;Musical;tt0058385;7.5;nm0002030;George Cukor
The Incident;1967;USA;Thriller;tt0061814;8;nm0670282;Larry Peerce
La vingt-cinquiéme heure;1967;France;War;tt0062445;8.5;nm0894577;Henri Verneuil
The Long Good Friday;1980;UK;Thriller;tt0081070;7.75;nm0533334;John Mackenzie
Babette's Feast;1987;Denmark;Drama;tt0092603;8.25;nm0002196;Gabriel Axel
Mesrine;2008;France;Crime;tt1259014;8;nm0724938;Jean-François Richet
Ponyo;2008;Japan;Fantasy;tt0876563;7.75;nm0594503;Hayao Miyazaki
Un Prophète;2009;France;Crime;tt1235166;9;nm0002191;Jacques Audiard
Abril Despedaçado;2001;Brazil;Drama;tt0291003;7.5;nm0758574;Walter Salles
Memories of Murder;2003;South Korea;Thriller;tt0353969;7.5;nm0094435;Bong Joon Ho
